Date,Headline,Category
10/28/2018,zimbabwes health time bomb,Social
10/28/2018,a girls dream to change the world,Social
10/28/2018,chaos mars army killings probe,Political
11/4/2018,dethroned mugabe goes into hibernation,Political
11/4/2018,mugabe wife human rights violators report,Political
11/4/2018,parastatals found wanting,Political
11/4/2018,of aids cure fibs  another one falls flat,Social
11/4/2018,apostolic sect fights child marriages,Social
11/4/2018,shock as 16 students fall pregnant at chirumanzu school,Social
11/4/2018,wezhira zims brave female driver,Social
11/4/2018,belarus gold mining deal questioned,Social
11/4/2018,jailed ed ally to walk free,Political
11/5/2018,ed puts mutsvangwa to the sword,Political
11/11/2018,from frying pan into fire hwange widows fate sealed,Social
11/11/2018,hwange colliery demise a throwback to shabanie tragedy,Social
11/11/2018,questions mthuli ncube wont answer,Social
11/11/2018,army killings ruling a test for mnangagwa,Political
11/11/2018,mathias and mildreds newfound love,Social
11/11/2018,mnangagwa allies in nasty fight,Political
11/11/2018,chamisa escapes kidnap plot,Political
11/14/2018,red cross targets adolescents in new projects,Social
11/18/2018,ed chiwenga feud in new twist,Political
11/18/2018,a year without mugabe the bad habits ed wont stop,Political
11/18/2018,bus inferno 33 not 42 dead,Social
11/18/2018,beitbridgemasvingo highway closed,Social
11/18/2018,it was hell says inferno survivor,Social
11/18/2018,moyo defends zanu pf spending spree,Political
11/18/2018,hwange colliery saga skeletons tumble as mps begin investigation,Social
11/25/2018,the untold horror stories of the july 30 elections,Political
11/25/2018,mugabe unable to walk ed,Political
11/25/2018,zim needs genuine healing,Social
11/25/2018,fight over choppies gets dirty,Social
11/25/2018,ncubes budget angers teachers,Social
11/25/2018,hwange saga spills to high court,Social
11/25/2018,mnangagwa has created 800k jobs claims govt,Political
11/25/2018,violated mp speaks out,Political
12/2/2018,motlanthe speaks on his zim connection,Political
12/2/2018,mugabes smelly legacy of patronage cronys project raises stink,Political
12/2/2018,chamisa calls for stiffer penalties,Political
12/2/2018,army killings shock details,Political
12/2/2018,choppies war mphoko in 94 million headache,Political
12/2/2018,professor makhurane dies,Social
12/2/2018,tithes enriching church bosses,Social
12/2/2018,mapfumo rails against ed,Political
12/2/2018,mnangagwa hits out at magaya,Political
12/6/2018,ump inside zanu pfs terrorstricken election stronghold,Political
12/9/2018,gukurahundi haunting chiefs,Political
12/9/2018,im no land baron says msindo,Social
12/9/2018,child marriages in zim the elephant in the room,Social
12/9/2018,teachers earn us100 says union,Social
12/9/2018,agony despair at major hospitals as doctors strike bites,Social
12/9/2018,tsholotsho gets network boost,Social
12/9/2018,drought ravages mat south masvingo,Social
12/9/2018,parenttochild sex talk yields fruits in stiinfested shamva,Social
12/9/2018,makhurane buried in gwanda,Social
12/9/2018,zim reels from spike in fatal accidents,Social
12/16/2018,hunger disease stalk 18 families evicted by zanu pf bigwig,Political
12/16/2018,plot to ban chamisa flops,Political
12/16/2018,forget about us salaries ncube,Social
12/16/2018,council firm in 20m wrangle,Social
12/16/2018,cop assaults junior over beer,Social
12/16/2018,econet dangles 32bn jackpot to shareholders,Social
12/16/2018,guntoting activist convicted,Social
12/16/2018,doctors crisis worsens,Social
12/16/2018,protesting teachers arrested,Political
12/16/2018,afm leader bares his soul,Social
12/16/2018,ngos fear government ban,Political
12/23/2018,adieu 2018 a year of uncertainty fear and deceit,Social
12/23/2018,mugabe law haunts zim,Political
12/23/2018,chamisa takes war to mnangagwa,Political
12/23/2018,minister charges govt 500 a day,Political
12/23/2018,a gloomy christmas beckons,Social
12/23/2018,2018 when hope turned into despair,Social
12/24/2018,i want ed talks chamisa,Political
12/24/2018,teachers threaten january strike,Social
12/24/2018,cio purge targets mugabe loyalists,Political
1/6/2019,first lady broke the ice not the strike doctors,Political
1/6/2019,zctu raises red flag over first lady,Political
1/6/2019,ed on the edge over unrest,Political
1/6/2019,govt working to improve primary health care,Political
1/6/2019,junior doctors say no to a new deal,Social
1/6/2019,travellers in long delays at beitbridge,Social
1/6/2019,doctors strike lives on ropes as lies arrogance blot hope,Social
1/6/2019,lions terrorise hurungwe villagers,Social
1/6/2019,chitown councillors adopt plans for construction of muda dam,Social
1/6/2019,zim wheat stuck in mozambique,Social
1/6/2019,valueless bond the source of zimbabwes problems say analysts,Social
1/13/2019,a peek into diamonds revenue,Social
1/13/2019,cholera typhoid has zim lost the battle,Social
1/13/2019,threats and blackmail the real story behind the doctors return to wards,Social
1/13/2019,plain clothes officials at beitbridge expose border post to criminals,Social
1/13/2019,civil servants pile pressure on govt,Political
1/13/2019,police conduct questioned,Social
1/13/2019,trio steals from mupfumira,Social
1/13/2019,karumazondo brightens marondera,Social
1/13/2019,why i am in hiding gandawa,Political
1/13/2019,chivayo must answer fraud charges  justice musakwa,Social
1/13/2019,exiled gukurahundi survivors return,Political
1/13/2019,mnangagwa moves to disband zacc,Political
1/13/2019,olivine industries shuts down zimbabwe operations,Social
1/13/2019,guvamombe granted 3 000 bail,Social
1/13/2019,ed hikes fuel prices,Political
1/14/2019,live updates on the national stay away,Political
1/20/2019,all eyes on the judicial system after wanton arrests rights abuses,Political
1/20/2019,chamisa blames ed for violence,Political
1/20/2019,army police in  fix over killings,Political
1/20/2019,minister distances self from fuel crisis,Political
1/20/2019,internet shutdown costs govt millions of dollars,Political
1/20/2019,protesters overrun police station,Political
1/20/2019,govt evicts villagers to pave way for game park,Political
1/20/2019,nuanetsi a case of wasted investment stolen livelihoods,Social
1/20/2019,tajamuka leadership goes underground,Political
1/20/2019,gory tales of beatings torture anguish and military brutality,Political
1/20/2019,zanu pf targets gandawa clinic,Political
1/20/2019,fc platinum fire blanks in champions league,Social
1/27/2019,mnangagwa govt has failed nkosana moyo,Political
1/27/2019,govt deploys army in another murambatsvina,Political
1/27/2019,chamisa winky d barred from tuku funeral,Political
1/27/2019,crackdown dossier exposes the army,Political
1/27/2019,rape brutality as soldiers crash protests,Political
1/27/2019,presidential guard soldier burnt bus court,Political
1/27/2019,trials tribulations and rise of rural teacher,Social
1/27/2019,mnangagwa tweet exposes divisions in zanu pf,Political
1/27/2019,pamushana high school posts impressive a level results,Social
1/27/2019,zctu president remanded in custody,Political
2/3/2019,mnangagwa feels the heat,Political
2/3/2019,crackdown women relive rape ordeal,Political
2/3/2019,acute fuel shortages resurface,Social
2/3/2019,wave of army abductions torture raise political temperatures,Political
2/3/2019,cassavas uberlike service a hit,Social
2/3/2019,620 arrested in bulawayo,Social
2/3/2019,four acquitted  over protests,Political
2/3/2019,sas da piles pressure on mnangagwa,Political
2/6/2019,bombing yugoslavia was it protection,Political
2/6/2019,us withdrawal from inf treaty to escalate tensions,Political
